Timestamp,Price,Market Cap,24h Volume,Coin
2013-12-13,897.27,10872198158.0,0.0,BTC
2013-12-14,866.99,10509219285.0,0.0,BTC
2013-12-15,854.62,10363485334.0,0.0,BTC
2013-12-16,789.15,9573257565.0,0.0,BTC
2013-12-17,691.65,8393847109.0,0.0,BTC
2013-12-18,559.36,6791343584.0,0.0,BTC
2013-12-19,677.84,8233502182.0,0.0,BTC
2013-12-20,694.25,8436421862.0,0.0,BTC
2013-12-21,596.12,7246404914.0,0.0,BTC
2013-12-22,650.27,7907201916.0,0.0,BTC
2013-12-23,645.75,7854951431.0,0.0,BTC
2013-12-24,659.94,8030446893.0,0.0,BTC
2013-12-25,668.74,8140337961.0,0.0,BTC
2013-12-26,734.59,8944973877.0,0.0,BTC
2013-12-27,734.27,8944473292.0,62881800.0,BTC
2013-12-28,738.81,9002769255.0,28121600.0,BTC
2013-12-29,726.47,8855251580.0,27018300.0,BTC
2013-12-30,760.52,9270681761.0,24717100.0,BTC
2013-12-31,755.16,9205343763.0,21903500.0,BTC
2014-01-01,767.74,9358693020.0,23448600.0,BTC
2014-01-02,772.53,9417082760.0,16837800.0,BTC
2014-01-03,825.47,10062417390.0,54171500.0,BTC
2014-01-04,849.14,10350952914.0,36344700.0,BTC
2014-01-05,919.41,11207538944.0,62414600.0,BTC
2014-01-06,936.38,11414401972.0,88584600.0,BTC
2014-01-07,826.5,10107681750.0,80268100.0,BTC
2014-01-08,838.32,10256342208.0,78060300.0,BTC
2014-01-09,853.29,10443906952.0,58813600.0,BTC
2014-01-10,863.3,10570439442.0,29763600.0,BTC
2014-01-11,905.72,11094594497.0,48299500.0,BTC
2014-01-12,867.45,10630187711.0,40171100.0,BTC
2014-01-13,840.96,10309307616.0,42950500.0,BTC
2014-01-14,838.05,10276902394.0,23469400.0,BTC
2014-01-15,860.44,10555404678.0,28600400.0,BTC
2014-01-16,837.98,10283900055.0,18719700.0,BTC
2014-01-17,812.9,9979241690.0,39266000.0,BTC
2014-01-18,840.0,10315662000.0,18052700.0,BTC
2014-01-19,838.17,10293335273.0,17574100.0,BTC
2014-01-20,869.15,10677333920.0,25421600.0,BTC
2014-01-21,869.57,10686776168.0,26779700.0,BTC
2014-01-22,865.03,10635024832.0,17879900.0,BTC
2014-01-23,846.97,10417265166.0,18412100.0,BTC
2014-01-24,808.32,9945387408.0,20176000.0,BTC
2014-01-25,804.39,9900713656.0,31742800.0,BTC
2014-01-26,853.51,10508799200.0,22676800.0,BTC
2014-01-27,891.86,10984370725.0,32539200.0,BTC
2014-01-28,777.0,9573533550.0,61878700.0,BTC
2014-01-29,816.85,10067676250.0,33409200.0,BTC
2014-01-30,817.17,10074827642.0,16261700.0,BTC
2014-01-31,817.93,10087796517.0,31107400.0,BTC
2014-02-01,832.52,10271715012.0,14722200.0,BTC
2014-02-02,836.41,10323662258.0,19347600.0,BTC
2014-02-03,813.38,10043290888.0,12759200.0,BTC
2014-02-04,832.36,10281144248.0,14823400.0,BTC
2014-02-05,830.92,10267242207.0,15706200.0,BTC
2014-02-06,805.08,9951171213.0,47441900.0,BTC
2014-02-07,721.32,8918941470.0,65733100.0,BTC
2014-02-08,701.61,8678266711.0,86940400.0,BTC
2014-02-09,672.07,8315656524.0,34864400.0,BTC
2014-02-10,689.65,8535556672.0,38527400.0,BTC
2014-02-11,697.76,8638931672.0,121884000.0,BTC
2014-02-12,655.26,8115968452.0,65970400.0,BTC
2014-02-13,651.91,8077474557.0,19109100.0,BTC
2014-02-14,623.57,7729134561.0,90917600.0,BTC
2014-02-15,644.1,7986582360.0,57350800.0,BTC
